	Unnamed: 0	doc_id	adjudicator_id	text	label	pred	pred_label
111	268	269	phazarika	Into this opening I led Juanaâ€”taking her by the hand as one might a blind person, although it was not so dark within that she could not see perfectly every step she took.	NMOS	1	MOS
170	519	520	tranguyen	The ground was sawdust and the pebbles scattered around were hard knots from trees, worn smooth in course of time.	NMOS	1	MOS
15	535	536	tranguyen	Had there been any doors or windows in the lower rooms, or had not the boards of the house been so thick and stout, escape would have been easy; but to remain down below was like being in a cellar or the hold of a ship, and they did not like the darkness or the damp smell.	NMOS	1	MOS
25	682	683	jtopa	Even as she caught sight of him he grew dim; the palace itself grew dim, swayed above her, fell on to her softly, slowly, noiselessly, and the sky fell with it.	MOS	0	NMOS
3	885	886	ppromthaww	He merely sprang to the side and ran stiffly ahead for several awkward leaps, in carriage and conduct resembling an abashed country swain.	NMOS	1	MOS
190	657	658	jtopa	The river was rushing below them, almost black in the advancing night.	MOS	0	NMOS
34	291	292	phazarika	This room, which was just forward of the engine-room, was in effect a circular conning-tower which projected about twelve inches above the upper hull.	MOS	0	NMOS
155	183	184	dung	From this crawling flapping mass of obscene reptilian life came the shocking clamor which filled the air and the mephitic, horrible, musty odor which turned us sick.	NMOS	1	MOS
53	994	995	ppromthaww	The cub had broken through the wall of the world, the unknown had let go its hold of him, and here he was without hurt.	MOS	0	NMOS
38	556	557	tranguyen	They did not realize their ill fortune at first, for their hearts were gladdened by the sight of a ray of sunshine coming through a small crack in the roof of the cave, far overhead.	MOS	0	NMOS
